"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "Vue", "HTML", "TOML", "YAML", "Docker", "HTTP", "XML", "SCSS", "Go Module File", "Python", "Go Checksum File", "Dotenv", "Go", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\cache.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_auth.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 33, 50, 316
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_auth_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 11, 21, 135
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_file.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 8, 13, 63
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_file_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 15, 16, 76
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_history.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 6, 17, 111
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_search.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 4, 17, 112
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_song.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 544, 0, 0, 75, 106, 725
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\handle\handle_system.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 13, 25, 159
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\middleware\auth.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 5, 11, 57
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\middleware\base.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 5, 5, 29
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\middleware\stats.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 4, 17
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\History.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 5, 11, 69
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\Metadata.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 13, 18, 109
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\Playlist.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 29, 32, 244
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\Search.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 9, 22, 91
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\Song.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 10, 16, 80
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\SystemInfo.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 6, 11, 85
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\User.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 18, 18, 118
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\ZBase.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 3, 24
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\model\ZBase_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\utils\audio\flac.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 36, 22, 141
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\utils\encrypt\Aes.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 4, 11, 59
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\utils\encrypt\Encrypt.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 11, 6, 42
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\utils\encrypt\Encrypt_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 9, 46
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\utils\imgtool\imgtool.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 14, 12, 76
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\utils\jwt\Jwt.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 9, 12, 73
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\internal\utils\jwt\Jwt_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\requests.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 41, 333
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\start\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\start\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\start\init.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\test\apifox_batch_import.json", "JSON", 0, 0, 797, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 797
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\test\auth.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 42
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\test\convert_to_postman.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 16, 37, 185
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\test\playlist.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 50
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\test\search.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 19
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\test\song.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 63
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\test\system.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 37
"c:\Users\lrj32\Desktop\music player\localmusicplayer\server\test\user.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\App.vue", "Vue", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 205
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\login.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 52
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\playlist.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 9, 81
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\search.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 52
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\song.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 13, 154
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\system.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 49
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\user.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 49
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
